payment_id,amount,status,failure_reason,customer_type
PAY001,1000,success,,returning
PAY002,1000,success,,new
PAY003,7500,failed,card_expired,new
PAY004,1000,success,,returning
PAY005,1000,failed,upi_timeout,new
PAY006,5000,success,,new
PAY007,1000,success,,returning
PAY008,4000,success,,returning
PAY009,500,success,,new
PAY010,3000,success,,new
PAY011,1000,failed,bank_timeout,returning
PAY012,5000,success,,returning
PAY013,5000,success,,returning
PAY014,10000,success,,new
PAY015,4000,success,,returning
PAY016,4000,success,,new
PAY017,4000,success,,new
PAY018,3000,success,,new
PAY019,10000,success,,new
PAY020,1000,failed,insufficient_funds,new
PAY021,2500,success,,new
PAY022,5000,success,,new
PAY023,4000,success,,new
PAY024,7500,success,,new
PAY025,1500,success,,returning
PAY026,4000,success,,new
PAY027,1000,success,,new
PAY028,7500,failed,bank_timeout,returning
PAY029,5000,failed,upi_timeout,new
PAY030,2000,success,,new
PAY031,7500,success,,returning
PAY032,3000,failed,insufficient_funds,new
PAY033,2000,success,,new
PAY034,500,failed,bank_timeout,new
PAY035,2500,success,,returning
PAY036,10000,failed,bank_timeout,new
PAY037,2000,success,,new
PAY038,1000,success,,returning
PAY039,2500,success,,new
PAY040,2000,success,,returning
PAY041,3000,success,,new
PAY042,1500,success,,new
PAY043,7500,success,,new
PAY044,4000,success,,returning
PAY045,4000,success,,returning
PAY046,7500,failed,bank_timeout,new
PAY047,1000,success,,returning
PAY048,2000,success,,new
PAY049,1000,success,,returning
PAY050,4000,success,,new
PAY051,5000,success,,new
PAY052,1000,failed,upi_timeout,returning
PAY053,2500,success,,new
PAY054,2500,failed,bank_timeout,returning
PAY055,2000,success,,returning
PAY056,500,success,,returning
PAY057,4000,success,,returning
PAY058,2500,failed,card_expired,returning
PAY059,1500,success,,new
PAY060,2500,success,,new
PAY061,7500,success,,new
PAY062,5000,success,,returning
PAY063,3000,success,,returning
PAY064,500,failed,card_expired,new
PAY065,3000,failed,bank_timeout,returning
PAY066,2500,success,,returning
PAY067,2500,success,,returning
PAY068,5000,failed,insufficient_funds,new
PAY069,4000,success,,new
PAY070,1000,success,,new
PAY071,4000,failed,insufficient_funds,returning
PAY072,5000,success,,new
PAY073,4000,success,,new
PAY074,2000,success,,returning
PAY075,3000,success,,returning
PAY076,10000,success,,new
PAY077,7500,failed,card_expired,new
PAY078,7500,failed,insufficient_funds,returning
PAY079,10000,success,,new
PAY080,2000,failed,insufficient_funds,new
PAY081,500,success,,returning
PAY082,1000,failed,upi_timeout,returning
PAY083,1500,success,,returning
PAY084,500,success,,returning
PAY085,7500,success,,returning
PAY086,5000,success,,returning
PAY087,500,success,,new
PAY088,2500,success,,returning
PAY089,7500,failed,bank_timeout,new
PAY090,1000,success,,returning
PAY091,2000,failed,upi_timeout,new
PAY092,10000,failed,card_expired,returning
PAY093,3000,success,,returning
PAY094,10000,failed,bank_timeout,new
PAY095,500,failed,insufficient_funds,returning
PAY096,2000,failed,card_expired,new
PAY097,3000,failed,card_expired,returning
PAY098,3000,success,,returning
PAY099,1500,failed,bank_timeout,returning
PAY100,1000,success,,new
PAY101,2000,success,,new
PAY102,1500,success,,returning
PAY103,2000,success,,returning
PAY104,500,success,,new
PAY105,7500,success,,new
PAY106,3000,success,,returning
PAY107,5000,failed,card_expired,returning
PAY108,2000,success,,new
PAY109,10000,success,,returning
PAY110,2000,failed,card_expired,returning
PAY111,10000,failed,bank_timeout,returning
PAY112,4000,success,,returning
PAY113,2500,success,,returning
PAY114,2000,success,,returning
PAY115,2500,success,,new
PAY116,1500,success,,returning
PAY117,1500,success,,new
PAY118,1000,success,,new
PAY119,5000,success,,returning
PAY120,500,success,,returning
PAY121,4000,success,,returning
PAY122,1500,success,,new
PAY123,4000,success,,returning
PAY124,7500,success,,returning
PAY125,7500,failed,upi_timeout,returning
PAY126,4000,success,,returning
PAY127,1500,failed,card_expired,new
PAY128,2500,success,,new
PAY129,2000,failed,upi_timeout,returning
PAY130,1000,failed,upi_timeout,new
PAY131,10000,success,,new
PAY132,500,success,,returning
PAY133,1500,failed,insufficient_funds,new
PAY134,7500,failed,bank_timeout,returning
PAY135,3000,success,,returning
PAY136,5000,success,,returning
PAY137,7500,success,,returning
PAY138,4000,failed,insufficient_funds,returning
PAY139,7500,success,,new
PAY140,10000,success,,new
PAY141,500,success,,returning
PAY142,500,success,,new
PAY143,5000,success,,new
PAY144,7500,failed,insufficient_funds,new
PAY145,5000,success,,returning
PAY146,500,failed,insufficient_funds,returning
PAY147,3000,success,,new
PAY148,3000,failed,bank_timeout,new
PAY149,500,success,,new
PAY150,1500,success,,new
PAY151,3000,success,,returning
PAY152,5000,success,,returning
PAY153,10000,failed,upi_timeout,new
PAY154,5000,failed,insufficient_funds,returning
PAY155,500,success,,returning
PAY156,7500,success,,returning
PAY157,10000,success,,returning
PAY158,1500,failed,insufficient_funds,new
PAY159,7500,failed,card_expired,new
PAY160,2000,success,,returning
PAY161,3000,failed,bank_timeout,new
PAY162,10000,success,,returning
PAY163,2500,success,,returning
PAY164,1000,failed,upi_timeout,returning
PAY165,2000,failed,card_expired,new
PAY166,4000,success,,new
PAY167,500,success,,returning
PAY168,4000,success,,new
PAY169,3000,success,,new
PAY170,500,success,,returning
PAY171,1000,failed,insufficient_funds,returning
PAY172,4000,success,,new
PAY173,1500,success,,returning
PAY174,500,failed,bank_timeout,new
PAY175,4000,success,,new
PAY176,2000,success,,new
PAY177,10000,success,,returning
PAY178,1500,success,,returning
PAY179,4000,success,,new
PAY180,5000,success,,new
PAY181,2000,success,,new
PAY182,5000,failed,bank_timeout,new
PAY183,4000,failed,card_expired,returning
PAY184,10000,success,,new
PAY185,5000,success,,returning
PAY186,1000,success,,new
PAY187,500,success,,returning
PAY188,10000,failed,upi_timeout,new
PAY189,7500,success,,new
PAY190,2500,success,,returning
PAY191,7500,success,,new
PAY192,7500,success,,new
PAY193,1500,success,,returning
PAY194,1000,success,,returning
PAY195,7500,success,,returning
PAY196,500,success,,returning
PAY197,4000,success,,new
PAY198,500,success,,returning
PAY199,500,failed,upi_timeout,new
PAY200,3000,success,,new
PAY201,500,success,,new
PAY202,10000,success,,new
PAY203,2500,success,,returning
PAY204,1000,success,,new
PAY205,1500,success,,new
PAY206,2500,failed,bank_timeout,returning
PAY207,7500,failed,card_expired,new
PAY208,5000,success,,new
PAY209,10000,success,,returning
PAY210,1000,failed,card_expired,new
PAY211,2000,success,,new
PAY212,2500,success,,new
PAY213,7500,success,,returning
PAY214,1500,success,,returning
PAY215,2000,success,,new
PAY216,500,success,,returning
PAY217,4000,success,,new
PAY218,4000,failed,upi_timeout,new
PAY219,3000,success,,returning
PAY220,1000,success,,new
PAY221,10000,success,,returning
PAY222,4000,failed,insufficient_funds,new
PAY223,4000,success,,returning
PAY224,7500,success,,new
PAY225,3000,success,,returning
PAY226,10000,success,,new
PAY227,7500,success,,returning
PAY228,3000,success,,returning
PAY229,500,failed,upi_timeout,returning
PAY230,10000,success,,returning
PAY231,10000,success,,new
PAY232,2000,success,,new
PAY233,500,success,,returning
PAY234,1000,failed,insufficient_funds,new
PAY235,3000,success,,returning
PAY236,1000,success,,new
PAY237,4000,success,,new
PAY238,1000,success,,returning
PAY239,2500,failed,upi_timeout,returning
PAY240,1000,success,,new
PAY241,1500,success,,returning
PAY242,5000,failed,card_expired,new
PAY243,3000,success,,new
PAY244,2000,success,,new
PAY245,5000,failed,card_expired,new
PAY246,500,failed,upi_timeout,returning
PAY247,3000,success,,new
PAY248,4000,success,,new
PAY249,2000,success,,new
PAY250,10000,success,,new
PAY251,2500,success,,new
PAY252,10000,success,,returning
PAY253,3000,success,,new
PAY254,2000,success,,new
PAY255,4000,success,,new
PAY256,7500,failed,bank_timeout,new
PAY257,1000,success,,new
PAY258,1500,success,,returning
PAY259,3000,success,,returning
PAY260,3000,success,,returning
PAY261,1500,failed,bank_timeout,new
PAY262,1000,failed,insufficient_funds,returning
PAY263,4000,failed,bank_timeout,returning
PAY264,5000,failed,card_expired,returning
PAY265,2500,success,,new
PAY266,2000,failed,upi_timeout,returning
PAY267,1000,failed,insufficient_funds,new
PAY268,1500,success,,new
PAY269,5000,success,,returning
PAY270,1000,failed,insufficient_funds,new
PAY271,3000,success,,returning
PAY272,1000,failed,upi_timeout,new
PAY273,1000,failed,card_expired,new
PAY274,500,success,,returning
PAY275,1500,success,,returning
PAY276,500,success,,returning
PAY277,2500,success,,new
